expmod,kurt,Li,count1,count2
135,-0.18366,72.436,24.5,86.0
210,-1.5855,34.586,35.25,89.25
120,-0.44385,64.26100000000001,21.75,80.5
120,-0.27961,26.838,29.25,88.0
135,-0.23613,15.105,22.75,84.0
120,-0.3158,25.597,21.75,77.75
120,-0.087658,24.544,28.75,87.5
120,-0.15839,24.918000000000006,23.5,89.25
135,-0.34343,17.169,27.5,84.0
195,-1.4305,24.624,28.75,86.5
105,-0.049354,21.463,19.75,84.5
120,-0.5013,11.462,30.25,89.5
120,-0.060524,59.028,19.25,82.25
120,-0.58397,9.7448,23.25,85.25
105,0.077989,10.573,23.75,77.75
120,-0.36841,11.687,25.25,83.5
120,-0.092497,14.911,23.75,76.5
120,-0.19728,27.699,26.0,86.25
120,-0.53801,24.432,30.25,84.0
120,-0.47233,22.09,32.25,90.0
105,-0.3268,9.3306,23.5,75.75
120,-0.38795,13.785,25.5,80.75
120,-0.50284,60.598,23.75,79.25
105,-0.47753,22.313,28.0,89.5
180,-1.5672,25.629,40.5,100.75
120,-0.53396,58.257,31.75,90.5
105,-0.36801,23.955,24.5,73.25
105,-0.12076,13.419,24.0,81.25
120,-0.11912,24.378,21.25,80.0
135,-0.41187,59.29,32.75,90.75
135,-0.26228,8.6422,33.75,89.5
120,-0.6239399999999999,7.5711,30.25,78.0
180,-1.5365,28.844,32.25,93.75
120,-0.61441,16.558,27.25,80.0
120,-0.37379,16.512,22.5,74.75
120,-0.35451,16.314,28.5,79.5
120,-0.36354,12.188,21.5,86.25
105,-0.45628,24.114,22.0,81.75
105,-0.29506,8.8592,19.5,77.25
120,-0.25448000000000004,13.233,20.0,80.25
120,-0.27263000000000004,14.229,28.75,86.0
120,-0.41975,6.6886,17.25,81.0
120,-0.5948100000000001,28.143,34.0,88.5
135,-0.45039,27.204,30.75,83.5
120,-0.52037,14.546,24.5,80.0
105,-0.47415,9.0968,29.5,89.75
135,-0.54556,17.964000000000006,33.0,93.0
120,-0.29912,12.154000000000002,25.75,85.5
120,-0.48597,13.052,31.75,88.5
120,-0.56274,58.005,24.5,90.0
105,-0.14006,18.369,33.5,79.75
120,-0.23108,11.805,26.75,81.75
135,-0.27623000000000003,18.289,33.75,89.0
105,-0.18472,14.389,25.25,77.5
120,-0.47399,16.28,28.25,78.75
105,-0.33309,18.847,29.0,84.0
120,-0.4340100000000001,22.403,29.25,78.0
105,-0.28295,21.664,29.0,83.25
120,-0.35767,18.18,23.0,74.5
105,-0.70631,9.9779,46.0,89.75
105,-0.4082,11.853,32.5,86.25
105,-0.30621,13.214,30.75,74.0
135,-0.47599,14.505,34.75,88.5
135,-0.5048600000000001,18.935,39.0,86.0
120,-0.13518,16.421,32.75,95.5
120,-0.3669,19.985,33.75,86.75
135,-0.54848,16.415,36.0,87.5
120,-0.53915,13.816,36.75,77.5
150,-1.4876,15.07,34.25,89.0
135,-0.78977,15.161,35.0,80.25
120,-0.37999,11.164,27.25,88.5
120,-0.63379,25.324,36.5,83.75
120,-0.37261,20.666,28.5,82.0
105,-0.62432,8.7262,29.25,88.25
120,-0.3708,10.687,30.0,89.0
120,-0.53681,11.831,34.0,88.25
105,-0.47497,9.0658,32.5,86.0
105,-0.43784,11.095999999999998,33.5,79.75
105,-0.45353,13.196,27.25,82.25
120,-0.39621,7.2689,28.75,79.75
120,-0.36794,32.08,43.25,88.0
120,-0.44355,9.4137,32.5,86.0
120,-0.46388,11.819,28.25,91.5
105,-0.37893,15.823,28.25,76.75
105,-0.66056,11.345,29.75,84.0
105,-0.16502,16.066,25.5,78.75
120,-0.57238,10.209,29.5,78.25
105,-0.61388,14.507,39.0,90.0
120,-0.39102,10.442,26.25,89.0
120,-0.38361,11.569,45.0,91.0
120,-0.58045,5.8017,45.0,90.75
120,-0.55882,13.976,33.75,88.0
120,-0.46452,53.528,26.5,79.25
120,-0.46013,15.653,32.0,89.75
105,-0.37331,9.723,31.75,80.25
105,-0.58826,15.257,36.0,78.75
105,-0.36938,8.5361,30.75,79.5
120,-0.58485,19.273,30.5,79.25
105,-0.5236,6.2289,26.0,86.5
120,-0.35179,12.444,22.25,83.25
120,-0.58248,9.5513,44.75,89.75
120,-0.38152,21.512,22.25,84.5
120,-0.60609,10.798,33.75,79.25
105,-0.50465,12.49,25.5,85.5
120,-0.44329,10.344,43.75,89.5
105,-0.61228,7.0403,49.25,93.25
120,-0.54332,8.2706,29.75,86.75
120,-0.4867,12.447,35.25,80.25
105,-0.63213,8.2526,32.75,83.75
105,-0.33186,11.382,30.5,82.0
120,-0.5309,8.1735,42.75,89.75
120,-0.38626,6.6409,35.75,85.5
105,-0.46525,9.7552,45.5,90.25
120,-0.63242,8.7539,26.25,84.0
120,-0.4347,10.233,32.25,87.0
105,-0.5191100000000001,7.8749,35.0,83.0
120,-0.5095,10.56,30.25,76.25
105,-0.53899,11.248,41.75,89.0
120,-0.5777800000000001,7.7328,33.5,87.5
105,-0.62557,31.088,26.0,86.25
105,-0.5557,10.334,29.75,77.25
120,-0.57498,14.522,34.0,78.75
105,-0.57339,8.0266,45.0,91.25
120,-0.45849,8.5636,27.5,89.0
105,-0.5836899999999999,8.5533,46.5,90.75
120,-0.51826,7.1109,24.0,78.5
120,-0.6974600000000001,12.959,36.25,84.0
105,-0.55653,10.213,25.5,84.0
120,-0.45514,24.718000000000004,28.75,81.75
105,-0.53876,7.5037,40.75,89.5
120,-0.39358,26.399,32.5,93.5
105,-0.50312,8.7727,37.25,89.25
120,-0.47145,9.9458,27.5,88.5
120,-0.57639,11.665,35.0,86.0
105,-0.45774,18.887,30.0,79.75
120,-0.59192,18.331,34.75,80.25
105,-0.44444,9.2959,31.75,81.25
120,-0.40366,11.272,21.5,78.5
105,-0.48941,10.286,35.75,88.0
120,-0.39248,7.3543,36.0,89.75
120,-0.55919,9.4702,34.75,90.75
120,-0.43879,9.3518,24.25,78.5
120,-0.63715,8.466000000000001,28.75,82.5
105,-0.35547,8.6677,27.5,82.25
105,-0.39648,23.458,24.25,84.25
120,-0.48118,9.0588,24.5,86.0
120,-0.45651,30.121,35.75,93.5
120,-0.44263,12.85,35.5,90.75
120,-0.44947,10.87,31.75,89.0
120,-0.44574,24.884,30.25,83.5
105,-0.57106,10.804,30.25,85.25
105,-0.468,15.173,29.0,84.25
120,-0.58221,7.9378,32.5,79.0
105,-0.5542600000000001,16.359,35.25,95.0
120,-0.50447,13.415,35.25,91.5
120,-0.5302100000000001,12.904000000000002,44.75,91.25
120,-0.51295,11.024,36.5,93.5
120,-0.6398199999999999,56.48,44.25,89.5
105,-0.33021,11.597,24.0,76.5
120,-0.63778,8.9912,32.75,84.75
105,-0.46113,18.468,29.0,82.0
120,-0.54046,12.777,31.0,79.75
105,-0.4831,15.582,42.25,89.0
120,-0.50207,12.883,35.75,85.25
120,-0.64359,11.344,37.75,91.0
105,-0.48625,49.353,23.0,76.75
120,-0.485,11.771,29.0,84.75
105,-0.47073,20.351,40.0,95.0
120,-0.44443,9.4644,23.5,81.0
120,-0.62432,12.89,32.25,89.75
105,-0.52981,49.828,35.0,91.75
120,-0.45614,18.572,35.25,93.5
120,-0.5979800000000001,61.554,34.25,93.5
120,-0.29818,13.815,21.75,79.0
120,-0.61142,22.167,30.5,89.75
105,-0.53274,19.88,29.0,87.0
120,-0.4317,14.736,31.5,82.25
120,-0.49605,23.838,33.0,94.25
120,-0.45551,34.559,34.0,90.5
120,-0.63871,50.175,35.75,90.0
105,-0.46782,66.209,29.25,84.75
120,-0.57873,11.951,39.75,87.25
105,-0.52368,12.265,38.0,92.0
120,-0.50055,51.257,36.25,91.25
120,-0.56316,15.144,33.25,88.5
120,-0.45179,22.832,22.25,82.75
105,-0.5804199999999999,25.174,37.25,94.25
105,-0.44682,11.2,24.5,82.0
120,-0.50026,10.173,30.25,81.0
105,-0.48211,9.7609,34.5,89.75
120,-0.38293,10.351,25.5,90.25
120,-0.5614100000000001,20.559,35.0,89.0
105,-0.40819,55.432,28.25,77.75
120,-0.48663,11.244000000000002,27.25,81.25
105,-0.4753600000000001,17.213,25.0,86.5
120,-0.36681,18.19,24.25,89.75
120,-0.528,9.6768,33.25,92.25
135,-0.4799,7.7642,20.25,79.25
165,0.5354,12.845999999999998,23.25,88.75
150,0.27586,11.614,19.5,80.0
165,0.36736,14.849,24.0,84.5
150,0.15719,13.747,28.75,89.0
150,0.54313,15.425,26.0,80.0
150,0.41604,15.003,20.25,73.0
150,0.21853000000000006,20.259,23.25,86.75
135,0.76659,13.349,28.5,85.25
165,0.4419,12.502,17.5,87.5
105,-0.055326,9.4195,21.5,77.0
120,0.16133,14.47,24.0,85.75
135,0.47914,31.489,25.5,81.25
150,0.5172399999999999,48.076,17.75,80.5
165,0.53238,14.7,25.75,83.0
135,0.073779,28.793000000000006,22.5,77.25
135,0.27159,38.87300000000001,18.75,68.25
165,0.95504,13.269,22.25,91.25
165,0.48136,23.697,21.25,76.0
135,0.47615,14.689,20.25,77.5
120,0.37999,10.215,19.5,80.75
120,0.18905,11.822,19.25,91.25
150,0.64575,11.413,24.5,95.0
180,0.5116,13.661,17.5,84.5
135,0.19601,9.008,20.75,80.25
135,0.4693,8.4346,24.25,88.75
120,0.27296,13.642,25.75,82.5
135,0.2663,12.977,22.75,89.0
105,0.16518,43.918,34.75,94.25
105,-0.077789,23.31,30.25,88.25
135,0.10756,20.123,30.0,80.5
105,0.20062,18.834,23.0,91.5
105,0.15083,9.7532,18.0,80.75
120,0.32908000000000004,9.6349,23.25,89.0
120,0.4564,9.6241,24.0,87.0
120,0.46824,9.1635,24.25,92.75
120,0.5394,8.2139,24.75,83.75
120,0.69575,8.548,25.25,90.0
135,0.71828,8.6568,26.75,88.0
105,0.75097,6.9544,21.75,87.75
90,0.81701,7.4817,25.0,86.25
120,0.96315,8.5124,30.0,90.25
120,0.90623,8.335,33.25,90.75
180,1.2288,18.351,28.5,91.25
180,0.8500700000000001,22.453000000000007,23.0,82.0
225,0.6619,12.379,19.25,85.75
210,0.7802100000000001,13.92,34.0,100.25
195,0.8095100000000001,16.488,36.0,103.75
195,0.75242,39.536,35.75,96.5
195,0.75951,13.323,31.5,107.5
225,1.0873,10.154,31.5,95.75
210,0.75346,8.7434,22.75,96.75
210,0.80288,11.937,28.5,109.5
210,0.75157,47.959,25.25,98.25
225,1.2401,14.653,28.0,106.0
195,0.67168,10.469,26.5,95.25
195,0.96784,12.184,28.25,100.5
210,0.89797,8.1779,21.0,99.25
195,1.0722,9.2884,23.75,85.5
195,1.088,15.955,29.25,96.25
210,1.2197,10.274,24.75,89.0
165,3.2356,24.743,38.5,91.75
195,1.4545,11.28,28.75,100.25
195,2.9036,16.058,20.25,86.75
180,2.8669,18.369,20.0,88.75
195,1.9305,11.356,25.75,90.5
180,2.9209,15.002,26.75,97.0
165,3.0164,17.392,23.0,91.0
210,2.0063,12.571,26.75,100.0
195,3.1591,39.709,19.5,83.75
150,5.0848,35.735,25.75,78.75
180,3.8407,24.155,20.0,87.0
180,4.0166,14.283,14.0,85.25
165,2.7374,35.728,21.0,84.75
165,4.8135,31.906,19.25,84.75
150,3.3199,24.251,19.5,77.75
165,3.2711,35.012,12.75,82.5
165,3.8596,24.554,17.0,86.5
150,3.0545,34.806,19.5,84.5
165,3.2444,15.265999999999998,15.75,85.25
150,4.5365,24.509,14.5,88.0
150,3.5756,27.548,15.0,77.75
150,3.9377,35.923,25.0,84.25
165,3.3387,26.598000000000006,14.75,79.75
180,2.7505,69.825,18.0,86.75
165,3.019,15.129,16.25,90.25
165,2.7241,21.112,18.75,86.0
165,3.512,14.268,13.0,79.0
180,2.9483,17.749000000000006,18.0,87.25
165,2.5724,14.274,13.75,73.5
165,2.6767,24.166,18.0,85.0
180,2.8383,10.319,16.5,81.75
195,3.3205,35.324,25.0,83.5
195,1.7215,12.294,17.5,75.0
195,2.1013,10.011,20.25,79.0
285,1.482,7.8154,21.5,68.75
210,1.3927,7.8694,22.5,84.75
195,0.93786,9.5395,24.5,92.0
180,0.77792,14.508,23.25,87.75
195,1.0732,11.987,18.75,92.5
180,0.4526,8.0472,26.5,94.25
195,0.87536,16.339000000000002,20.5,85.0
165,0.73541,14.152,21.5,93.0
210,0.48219,7.7178,24.0,90.5
195,0.408,27.192,29.75,89.25
195,0.53714,22.232,20.5,90.25
225,0.4971100000000001,10.34,24.0,91.75
180,0.53893,9.481,25.0,88.0
135,0.4261,13.454,24.25,81.0
180,0.2171,8.3347,26.5,82.5
240,-0.6825,17.673,32.0,95.75
240,-0.82955,25.275,41.5,100.25
255,-0.93863,16.954,38.25,82.5
255,-0.8951600000000001,88.66799999999998,32.0,88.0
240,-0.94845,38.19300000000001,30.25,90.0
240,-1.0368,30.303,20.25,83.25
225,-0.93979,43.488,38.5,102.5
240,-1.1261,54.603,21.5,81.5
225,-0.87945,12.643,31.0,97.75
225,-0.8627299999999999,15.178,28.5,90.0
210,-0.75694,70.05,26.5,90.25
225,-0.8466,53.901,33.75,104.25
195,-0.64267,63.088,43.5,105.25
195,-1.2891,22.652,31.0,90.5
165,-1.1442,28.206,41.75,92.0
180,-0.58299,55.19,49.75,93.0
210,-0.8518100000000001,51.56399999999999,57.25,104.75
120,4.0828,43.114,22.0,81.0
135,3.0055,23.17,13.5,67.25
135,4.0512,28.896,24.0,77.25
150,1.6287,44.563,15.5,81.75
120,0.79127,24.139,16.75,83.0
90,2.4897,28.577,21.0,77.0
150,-0.52735,67.693,19.0,84.5
150,0.56216,13.441,19.25,92.0
120,-0.1763,28.824,24.5,83.25
135,0.05041,27.268,13.75,72.25
195,1.9961,21.474,25.5,79.5
225,3.1548,18.062,13.5,66.0
120,0.36912,39.161,19.75,71.75
210,-0.6239399999999999,15.244000000000002,18.5,77.5
150,-0.23133,21.153,19.25,86.75
150,-0.27105,13.25,19.25,76.75
165,0.95098,9.7273,26.0,86.75
195,0.82637,8.5062,22.75,91.5
240,0.53008,11.947,26.0,89.0
180,0.91309,11.394,20.0,89.25
195,0.5464,12.413,25.5,90.0
210,0.5010600000000001,7.8098,14.75,81.0
165,1.0855,11.715,21.25,85.5
195,0.31527,12.768,23.75,92.25
210,0.11874,8.5626,20.5,83.25
210,0.36462,7.0587,18.25,79.25
255,0.40884,8.3184,24.75,78.25
225,0.17475,10.908,25.5,80.75
240,0.6430899999999999,6.6891,27.0,81.5
240,0.4747,5.7603,21.25,80.25
240,0.22256,5.4531,22.25,90.25
180,0.22819,8.2941,24.0,90.5
210,0.24369,6.206,17.25,87.5
225,0.29251,6.1404,19.5,83.5
180,0.27649,10.124,21.75,87.25
180,0.35426,8.5748,27.0,84.75
210,0.29257,7.2226,20.25,77.75
180,0.064967,6.6689,21.25,83.5
150,0.078763,5.837999999999999,20.75,79.0
165,-0.22259,6.4464,28.75,78.75
165,-0.43205,23.597,24.25,84.0
195,-1.0538,72.76899999999998,35.25,101.25
225,-0.64832,50.7,46.25,106.25
210,-0.58939,27.181,42.25,92.5
225,0.15316,17.199,32.75,96.25
210,-0.59433,17.887,38.5,96.25
180,-0.70557,23.553,39.25,91.0
210,-0.44274,29.241,34.5,84.25
195,-0.22316,34.126,35.75,105.0
165,-0.20946,10.611,20.0,90.5
120,-0.2111,11.408,22.75,86.75
165,-0.41621,9.2664,23.5,95.0
165,-0.70728,13.654000000000002,19.75,95.25
165,-0.1866,9.9885,26.0,93.25
180,0.018918,7.9032,22.5,88.5
150,0.17899,7.3029,17.25,93.25
135,-0.3487,9.0808,24.0,93.0
135,-0.20931,10.876,18.0,87.5
135,-0.58629,10.77,18.5,83.25
195,-0.30689,20.534,29.5,87.75
120,-0.27378,9.2495,24.5,92.25
150,-0.73051,16.245,22.0,80.5
135,-0.61859,14.168,19.25,83.25
195,-0.54059,50.526,41.25,104.5
150,-0.44379,34.994,32.75,92.5
135,0.12554,16.805,21.25,82.0
165,-0.4788,13.791,18.5,88.0
210,-0.59996,20.103,20.75,93.5
135,-0.17692,13.464,21.25,87.5
165,-0.16985999999999998,11.338,22.0,91.25
165,-0.33428,9.6317,21.75,89.5
150,-0.63032,10.582,18.5,89.75
180,-0.41339,7.3655,20.25,89.0
165,-0.24887,16.160999999999998,24.5,99.5
180,-0.35755,12.261,23.0,96.0
150,-0.42076,8.9387,21.75,86.5
165,-0.17409000000000002,9.3532,20.0,74.5
135,-0.26455,10.255,21.5,82.75
150,-0.52225,11.779000000000002,25.0,85.5
195,-0.46005,8.8236,25.25,93.75
150,-0.53935,9.6427,29.5,87.0
150,-0.26484,12.796,21.5,82.25
150,-0.51169,11.407,22.25,90.0
180,-0.36844,36.234,19.25,82.0
135,-0.2533,9.7909,20.75,79.0
180,-0.44554,71.954,32.5,96.5
225,-0.6353800000000001,39.004,37.75,87.75
180,-0.7065899999999999,48.37300000000001,34.5,101.0
120,0.38263,58.545,32.25,99.75
195,-0.80286,19.537,24.25,92.75
150,-0.26405,11.546,23.5,95.75
120,-0.22933,11.896,23.75,88.75
180,0.096999,7.499,18.5,94.5
195,-0.16241,10.115,20.25,93.5
150,-0.5072,9.8446,18.0,96.75
165,-0.10779,8.1638,27.75,97.75
105,-0.45011,9.468,20.75,83.75
150,-0.47516,22.27,22.0,85.75
165,-0.55138,11.278,19.75,88.5
195,-0.2983,44.913,47.25,91.75
210,-0.07990499999999999,54.044,25.25,102.25
195,-0.64995,76.67,32.75,92.25
135,-0.34367,50.769,20.25,78.5
150,-0.51831,45.063,21.0,83.5
105,0.050935,45.798,39.75,102.0
120,-0.61907,12.599,35.5,91.5
105,-0.2368,26.672,28.25,81.25
120,-0.39717,40.112,39.5,100.5
135,-0.8388100000000001,60.041,36.5,98.0
135,0.055645000000000014,49.304,32.5,92.5
195,-0.85031,34.166,25.0,83.5
195,-0.69696,79.259,27.75,92.5
180,-0.48642,26.432,50.5,84.25
180,-0.94723,24.478,26.75,88.0
150,-0.8989299999999999,24.522,33.75,87.0
180,-1.21,29.962,56.75,108.0
165,-1.0846,59.502,45.25,86.75
165,-0.5454600000000001,55.806,34.75,81.25
120,-0.15552,53.423,27.0,83.5
60,-0.8894700000000001,67.794,19.0,65.75
75,-0.29033000000000003,58.011,20.5,72.0
90,-0.46051,29.782,22.25,77.75
60,0.21531,51.883,32.0,80.25
105,0.31464000000000003,49.967,22.75,67.25
120,0.6841,67.69800000000001,19.0,69.0
120,-0.038105,29.137,26.0,93.5
105,-0.7155699999999999,43.715,27.25,86.75
120,-0.41002,62.902,40.25,88.75
135,-1.2605,37.988,31.0,88.25
165,-1.4680000000000002,37.609,32.75,94.75
135,-1.0942,49.133,38.25,84.25
165,-1.3812,26.736,43.75,90.0
75,8.9642,22.708,19.75,64.75
60,12.216,33.063,19.5,61.25
60,12.237,12.645,19.25,62.0
75,8.9839,21.244,19.5,63.75
60,12.836,32.754,19.75,60.75
75,8.7153,26.263,23.5,66.75
60,11.294,9.0755,20.0,60.25
60,12.139,29.228,19.25,61.75
75,8.9238,34.785,23.75,68.25
60,10.744000000000002,21.634,20.0,60.5
75,11.005,22.804,21.75,66.25
75,9.2388,49.325,16.5,61.0
75,9.5997,12.807,19.25,60.5
75,7.1095,25.85,25.0,68.75
90,8.7215,11.539,20.5,61.0
90,7.7644,23.292,24.75,69.5
75,9.9546,15.021,20.5,61.5
75,10.052,8.0692,19.75,59.0
90,8.0873,29.875,25.0,67.5
90,9.1261,12.167,20.5,60.75
90,7.6759,25.411,23.25,67.75
75,9.225,10.776,19.75,61.0
75,8.3626,8.2563,25.0,68.5
75,10.455,48.767,20.25,60.25
75,7.1172,9.2004,23.0,63.75
75,9.471,11.134,20.0,60.75
60,11.01,15.816,19.5,60.5
75,7.8117,10.275,22.75,64.5
